claim_id,customer_age,gender,occupation,policy_state,policy_type,policy_tenure_months,annual_premium,deductible,num_prior_claims,vehicle_make,vehicle_age,incident_type,incident_severity,incident_hour,incident_weekday,authorities_contacted,witnesses,police_report_filed,days_policy_to_incident,claim_amount,is_fraud
CLM100000,23,M,Salaried,GJ,Own Damage,3,27117.37,2500,0,Tata,9,Fire,Major Damage,5,2,Other,2.0,0,57,76173.02,1
CLM100001,62,M,Salaried,WB,Own Damage,52,10728.22,10000,1,Maruti,14,Collision,Trivial Damage,17,3,Police,1.0,1,1263,5200.1,0
CLM100002,55,M,Retired,GJ,Comprehensive,34,18129.74,1000,0,Tata,1,Natural Calamity,Minor Damage,15,5,Police,0.0,1,878,30245.09,0
CLM100003,43,M,Self-Employed,WB,Third Party,28,23137.59,10000,1,Mahindra,12,Collision,Major Damage,12,6,Ambulance,1.0,0,521,17667.67,0
CLM100004,42,M,Retired,WB,Comprehensive,36,17771.54,1000,1,Mahindra,13,Collision,Major Damage,12,6,,4.0,1,430,22475.6,0
CLM100005,66,F,Student,WB,Comprehensive,3,9839.13,5000,0,Hyundai,15,Natural Calamity,Major Damage,18,1,,1.0,1,53,29209.81,0
CLM100006,22,F,Salaried,KA,Comprehensive,20,22921.37,5000,0,Tata,12,Fire,Total Loss,7,5,Police,0.0,1,45,108142.72,0
CLM100007,57,F,Student,WB,Comprehensive,13,26497.59,1000,0,Mahindra,4,Vandalism,Minor Damage,18,2,Police,0.0,1,123,25146.17,0
CLM100008,29,M,Self-Employed,DL,Comprehensive,26,16729.78,1000,0,Mahindra,5,Collision,Minor Damage,23,3,Police,0.0,1,598,20983.59,0
CLM100009,23,M,Student,DL,Own Damage,27,9311.49,1000,0,Hyundai,9,Fire,Minor Damage,21,3,Ambulance,1.0,1,234,9631.68,0
CLM100010,48,M,Professional,WB,Comprehensive,35,16335.03,10000,1,Maruti,13,Collision,Trivial Damage,2,5,Police,2.0,0,711,3561.83,0
CLM100011,73,F,Professional,TN,Comprehensive,39,12645.42,1000,0,Toyota,12,Collision,Minor Damage,17,1,Fire,1.0,1,278,11067.28,0
CLM100012,59,M,Student,TN,Comprehensive,4,15976.47,2500,1,Mahindra,11,Vandalism,Minor Damage,13,2,Police,1.0,0,29,13156.31,0
CLM100013,61,F,Professional,WB,Comprehensive,20,20727.27,2500,0,Kia,8,Theft,Major Damage,22,6,,2.0,0,165,74946.36,0
CLM100014,58,M,Retired,DL,Own Damage,24,10515.98,2500,2,Maruti,9,Theft,Trivial Damage,1,2,None,1.0,1,255,3863.13,0
CLM100015,62,M,Student,MH,Comprehensive,7,29174.01,2500,3,Honda,14,Collision,Major Damage,19,1,Ambulance,1.0,0,117,48875.03,1
CLM100016,47,M,Self-Employed,MH,Comprehensive,7,13962.74,2500,0,Hyundai,11,Fire,Major Damage,8,4,Police,2.0,1,106,16509.25,0
CLM100017,25,M,Retired,WB,Third Party,6,16864.29,5000,1,Honda,5,Theft,Trivial Damage,15,1,Ambulance,,1,129,9379.14,0
CLM100018,65,F,Retired,TN,Comprehensive,44,13097.91,1000,1,Maruti,3,Vandalism,Total Loss,15,4,Fire,1.0,1,1304,398257.82,0
CLM100019,43,F,Professional,WB,Third Party,4,20724.77,5000,0,Tata,10,Collision,Minor Damage,1,0,None,1.0,1,116,8889.43,0
CLM100020,46,M,Self-Employed,TN,Own Damage,5,29166.83,2500,1,Hyundai,4,Vandalism,Trivial Damage,9,3,Police,1.0,0,96,11974.75,1
CLM100021,39,M,Salaried,MH,Comprehensive,26,11861.73,10000,0,Hyundai,9,Fire,Major Damage,16,1,Police,2.0,1,102,41248.59,0
CLM100022,28,M,Retired,MH,Own Damage,32,19511.53,5000,0,Mahindra,8,Collision,Major Damage,6,0,Police,1.0,1,932,33713.81,0
CLM100023,70,M,,KA,Comprehensive,23,12362.33,5000,1,Mahindra,10,Theft,Major Damage,18,2,Other,0.0,1,632,56200.24,0
CLM100024,62,F,Retired,GJ,Comprehensive,9,20503.56,1000,1,Honda,1,Fire,Minor Damage,4,1,Police,4.0,1,165,33893.33,0
CLM100025,54,F,Student,TN,Comprehensive,7,15825.18,1000,2,Honda,8,Collision,Minor Damage,9,6,Police,0.0,0,204,17930.1,0
CLM100026,40,F,Retired,GJ,Own Damage,25,22523.3,10000,1,Maruti,10,Collision,Minor Damage,17,1,Other,4.0,1,386,15901.22,0
CLM100027,64,M,Self-Employed,KA,Comprehensive,21,17437.95,1000,1,Honda,12,Collision,Minor Damage,22,2,Police,0.0,1,251,16787.07,0
CLM100028,49,M,Professional,WB,Comprehensive,17,37549.37,1000,2,Toyota,10,Collision,Total Loss,1,6,Police,1.0,1,428,146874.84,0
CLM100029,43,M,Professional,MH,Third Party,42,13134.85,5000,0,Mahindra,11,Collision,Trivial Damage,15,5,Fire,0.0,1,291,3179.63,0
CLM100030,43,M,Salaried,KA,Own Damage,20,10286.27,5000,1,Maruti,7,Theft,Minor Damage,18,0,Police,0.0,1,574,9854.08,0
CLM100031,30,F,Student,KA,Comprehensive,6,12781.04,10000,1,Toyota,9,Theft,Trivial Damage,20,3,Police,0.0,1,141,8283.8,0
CLM100032,23,M,Professional,MH,Comprehensive,17,12850.55,5000,0,Hyundai,15,Collision,Minor Damage,10,0,None,2.0,0,164,11786.61,0
CLM100033,49,M,Self-Employed,DL,Third Party,35,15054.45,5000,2,Maruti,0,Collision,Minor Damage,23,0,None,2.0,1,415,23903.47,0
CLM100034,68,M,Self-Employed,WB,Own Damage,19,13611.88,1000,1,Mahindra,6,Vandalism,Trivial Damage,10,4,Police,,1,425,8555.29,0
CLM100035,21,F,Salaried,GJ,Comprehensive,35,16869.12,2500,0,Maruti,5,Collision,Trivial Damage,11,2,Police,2.0,1,723,5765.2,0
CLM100036,66,M,Salaried,DL,Own Damage,40,9421.26,10000,0,Kia,10,Theft,Minor Damage,21,2,Police,0.0,1,672,14124.12,0
CLM100037,65,M,Professional,DL,Comprehensive,20,13587.15,10000,0,Hyundai,2,Theft,Minor Damage,19,6,,1.0,0,492,36647.14,0
CLM100038,33,M,Student,GJ,Comprehensive,23,13536.43,5000,1,Tata,13,Collision,Major Damage,19,2,Other,1.0,1,53,31522.0,0
CLM100039,54,F,Retired,TN,Comprehensive,18,21246.75,5000,0,Hyundai,0,Natural Calamity,Minor Damage,19,2,Other,0.0,0,316,32868.6,0
CLM100040,27,M,Self-Employed,WB,Third Party,35,11402.3,2500,0,Tata,6,Fire,Major Damage,15,0,Police,2.0,0,932,60605.12,0
CLM100041,61,M,Retired,MH,Comprehensive,18,11251.22,1000,1,Tata,13,Collision,Trivial Damage,16,1,None,1.0,1,91,5614.51,0
CLM100042,57,M,Professional,KA,Comprehensive,33,15695.03,1000,0,Honda,11,Natural Calamity,Minor Damage,16,0,Ambulance,1.0,1,567,11129.59,0
